Vectorizer,Model,Accuracy,Precision,Recall,F1-Score,Train Time (s),Prediction Time (s)
CountVectorizer,Naive Bayes,0.8482,0.8482444732022625,0.8482,0.8481806542719209,0.05324578285217285,0.0059812068939208984
CountVectorizer,Logistic Regression,0.8453,0.8453918168806678,0.8453,0.8452695652039943,4.455289363861084,0.004643440246582031
TF-IDF,Naive Bayes,0.8451,0.8451551657971115,0.8451,0.8450774493476816,0.027026653289794922,0.004079580307006836
TF-IDF,Logistic Regression,0.8635,0.8634986848348101,0.8635,0.8634973992555258,0.8470985889434814,0.002993345260620117
